observations,centile,subject_ids,CortexVol,Right-Amygdala,Right-Lateral-Ventricle,WM-hypointensities
23,0.5,23,495871.7501456012,1731.7900594897478,6364.6882016511445,1169.8241175180326
23,0.75,23,528203.9294258689,1889.4299772372851,8345.534944772866,1464.8732775741016
23,0.95,23,574719.0600430948,2116.2207945513096,11195.307123453276,1889.3497751075283
24,0.05,24,424990.391003354,1357.7743047108033,1436.074964844227,501.3984154887595
24,0.25,24,471646.34363779926,1577.4437203808782,3981.5491740829602,957.6816523539959
24,0.5,24,504076.40682480705,1730.1336265596271,5750.881591176607,1274.8393432203818
24,0.75,24,536506.4700118147,1882.8235327383763,7520.214008270264,1591.997034086768
24,0.95,24,583162.4226462601,2102.4929484084505,10065.688217508965,2048.2802709520047
25,0.05,25,436346.19373185706,1325.415758821502,1197.233379878111,444.27565101380424
25,0.25,25,486174.79089475324,1552.0200851099964,3608.6980024077684,966.7488699924411
25,0.5,25,520810.12600780505,1709.5303749022523,5284.88176173656,1329.9145229961096
25,0.75,25,555445.4611208568,1867.040664694508,6961.065521065355,1693.0801759997787
25,0.95,25,605274.0582837528,2093.644990983002,9372.53014359501,2215.553394978414
26,0.05,26,422382.69267882465,1359.432160839272,1484.4814148698051,498.09784893558333
26,0.25,26,468665.11859501863,1579.4806896507523,4095.08147151876,941.561080615819
26,0.5,26,500835.5472790117,1732.4341133966411,5909.6821818818735,1249.8077203787188
26,0.75,26,533005.9759630047,1885.3875371425297,7724.282892244978,1558.0543601416189
26,0.95,26,579288.4018791986,2105.436065954009,10334.882948893932,2001.5175918218554
27,0.05,27,411026.8894633166,1312.803914677102,1329.8262280650506,343.344179901066
27,0.25,27,459953.4774894261,1559.7658307340284,4627.104570068522,780.1235509997413
27,0.5,27,493961.83551489253,1731.4264675934241,6919.00815232181,1083.7243093958741
27,0.75,27,527970.1935403591,1903.0871044528194,9210.911734575098,1387.3250677920064
27,0.95,27,576896.7815664683,2150.049020509748,12508.190076578572,1824.1044388906826
28,0.05,28,433693.14801499597,1335.5125665383835,1254.2379154930413,465.14748834913246
28,0.25,28,482618.592677597,1559.6633059042017,3683.4331385488795,970.9175262539532
28,0.5,28,516626.15596308466,1715.4681331682211,5371.941252283483,1322.4729733340184
28,0.75,28,550633.7192485724,1871.27296043224,7060.449366018085,1674.028420414083
28,0.95,28,599559.1639111734,2095.423699798059,9489.64458907392,2179.798458318905
29,0.05,29,420243.95239747385,1357.7748811369238,1516.951891469118,487.2555880102101
29,0.25,29,466407.36759458366,1579.2434085716222,4200.868625915364,921.442216577875
29,0.5,29,498495.0731763378,1733.1838584626469,6066.430989816154,1223.240786842365
29,0.75,29,530582.778758092,1887.124308353672,7931.993353716955,1525.039357106854
29,0.95,29,576746.1939552019,2108.5928357883695,10615.910088163193,1959.2259856745197
30,0.05,30,424990.391003354,1357.7743047108033,1436.074964844227,501.3984154887595
30,0.25,30,471646.34363779926,1577.4437203808782,3981.5491740829602,957.6816523539959
30,0.5,30,504076.40682480705,1730.1336265596271,5750.881591176607,1274.8393432203818
30,0.75,30,536506.4700118147,1882.8235327383763,7520.214008270264,1591.997034086768
30,0.95,30,583162.4226462601,2102.4929484084505,10065.688217508965,2048.2802709520047
31,0.05,31,417024.44024810777,1347.359324428186,1534.0692798490127,450.298459928537
31,0.25,31,463539.57086533355,1574.1501417422105,4383.841458529416,874.7749574619636
31,0.5,31,495871.7501456012,1731.7900594897478,6364.6882016511445,1169.8241175180326
31,0.75,31,528203.9294258689,1889.4299772372851,8345.534944772866,1464.8732775741016
31,0.95,31,574719.0600430948,2116.2207945513096,11195.307123453276,1889.3497751075283
32,0.05,32,473044.7767679289,1074.4814967341913,316.3752764976298,-206.71045438425358
32,0.25,32,544681.7062582453,1371.8264727665537,2857.9408874141373,661.6151282630731
32,0.5,32,594475.7843707779,1578.5078460228685,4624.556478820939,1265.1791307556184
32,0.75,32,644269.8624833102,1785.1892192791845,6391.17207022775,1868.7431332481642
32,0.95,32,715906.7919736267,2082.534195311545,8932.737681144257,2737.0687158954943
33,0.05,33,412289.81470172346,1318.167715473965,1393.676259871735,361.2100882650782
33,0.25,33,460708.2898180913,1560.9462317274297,4604.870762168183,792.3384411691283
33,0.5,33,494363.46389084443,1729.6990312734215,6836.938370586525,1092.011236105624
33,0.75,33,528018.6379635974,1898.4518308194129,9069.005979004869,1391.6840310421196
33,0.95,33,576437.1130799651,2141.230347072877,12280.200481301308,1822.8123839461696
34,0.05,34,413865.59088283964,1327.1813203238657,1463.564699413545,389.0495172589183
34,0.25,34,461583.9112571825,1564.2894687125045,4554.706261474223,814.8582798816753
34,0.5,34,494752.4151144015,1729.10085504611,6703.326330665652,1110.8334834239279
34,0.75,34,527920.9189716205,1893.9122413797159,8851.946399857074,1406.8086869661806
34,0.95,34,575639.2393459635,2131.020389768354,11943.087961917754,1832.6174495889372
35,0.05,35,431268.0566246052,1343.5953058531904,1306.0615821769416,480.74529281138007
35,0.25,35,479443.7501577997,1565.8744276349948,3757.1781644578723,971.8852714976163
35,0.5,35,512930.1692992228,1720.3783131523726,5460.92358500272,1313.2715179055647
35,0.75,35,546416.5884406461,1874.88219866975,7164.669005547567,1654.6577643135136
35,0.95,35,594592.2819738402,2097.161320451554,9615.785587828497,2145.797742999748
36,0.05,36,404878.717592926,1301.609622519038,977.503121513515,286.03807279845455
36,0.25,36,455794.09340267663,1565.373146803323,4614.556130003911,763.7828650217183
36,0.5,36,491184.8369512592,1748.7124052681063,7142.6335181989625,1095.8582578543542
36,0.75,36,526575.5804998417,1932.0516637328897,9670.710906394012,1427.93365068699
36,0.95,36,577490.9563095926,2195.8151880171763,13307.7639148844,1905.6784429102506
37,0.05,37,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
37,0.25,37,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
37,0.5,37,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
37,0.75,37,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
37,0.95,37,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
38,0.05,38,422382.69267882465,1359.432160839272,1484.4814148698051,498.09784893558333
38,0.25,38,468665.11859501863,1579.4806896507523,4095.08147151876,941.561080615819
38,0.5,38,500835.5472790117,1732.4341133966411,5909.6821818818735,1249.8077203787188
38,0.75,38,533005.9759630047,1885.3875371425297,7724.282892244978,1558.0543601416189
38,0.95,38,579288.4018791986,2105.436065954009,10334.882948893932,2001.5175918218554
39,0.05,39,385240.75266421837,1370.8509066507704,1606.1500110528932,-437.9884604391991
39,0.25,39,430987.3222646208,1566.568773577359,6509.05425804539,697.2153236011904
39,0.5,39,462785.2828454238,1702.6102095112947,9917.011561491963,1486.2835639393063
